imageTags,Keyword
door,door doors exit gate furniture
window,windows furniture
girl,girl girls woman female human
painting,paintings art
television,televisions TV- screen electronics
table,tables desk furniture
chair,chairs seat furniture
plant,plants implant
boy,boy boys man male human
glass,glass glazier
cheese,cheeses food
bottle,bottles jar glass
cat,cat cats tomcat animal
rat,rat mouse animal
fire,fire fireplace heater
sofa,sofa couch furniture
curtain,curtains blind
pond,pond pool
bushes,bushes shrub
tree,tree
skippingrope,skippingropes skipping- rope
sandbox,sandbox sand
scooter,scooter minibike moped vehicle
basket,baskets container
bbq,bbq barbecue grill food
cloud,cloud weather sky
sun,sun solar- system ultraviolet- light sky
robot,robot automation toy
car,car cars transport transportation toy
dog,dog animal
road,road roads
videogame,videogame video game video games toy
book,book novel bible
horse,horse horses toy
bird,bird fowl birds feathered- creature
ball,balls sports
train,train trains trail caravan toy
baseballbat,baseballbat baseball bat sports
camera,cameras camcorder electronics
carpet,carpets rug
cake,cake bun food
pen,pen pens
watermelon,watermelon fruit
apple,apple apples fruit
duck,duck ducks animal
sandwich,sandwiches food